propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,hasVideo,status,newDevelopment,hasLift,priceByArea,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,newDevelopmentFinished,subTypology,hasParkingSpace,isParkingSpaceIncludedInPrice,codbar,coddistrit,codbarrio,barrio,distrito
93868909,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6d/67/36/874359550.jpg,lm161734,32,5,690000,flat,sale,130.0,False,3,2,barrio Ibiza,Madrid,Madrid,Retiro,es,Ibiza,40.4190461,-3.6719441,False,https://www.idealista.com/inmueble/93868909/,3975,True,good,False,1.0,5308,"{'subtitle': 'Ibiza, Madrid', 'title': 'Piso'}",True,True,False,False,False,,,,,34.0,3.0,3-4,Ibiza,Retiro
93242574,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7d/4f/80/862966318.jpg,MV3938I,51,2,1220000,flat,sale,190.0,True,4,3,barrio Almagro,Madrid,Madrid,Chamberí,es,Almagro,40.4366359,-3.6930641,False,https://www.idealista.com/inmueble/93242574/,1481,True,renew,False,1.0,6421,"{'subtitle': 'Almagro, Madrid', 'title': 'Piso'}",True,True,False,True,False,,,True,True,74.0,7.0,7-4,Almagro,Chamberí
92931772,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cc/39/d9/873577332.jpg,V6573I,48,1,610000,flat,sale,100.0,True,2,2,Vereda de Palacio,Madrid,La Moraleja,Encinar de los Reyes,es,,40.5071821,-3.6425828,False,https://www.idealista.com/inmueble/92931772/,9397,True,good,False,1.0,6100,"{'subtitle': 'Encinar de los Reyes, La Moraleja', 'title': 'Piso en Vereda de Palacio'}",True,True,False,True,False,,,True,True,166.0,16.0,16-6,Valdefuentes,Hortaleza
93759548,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/83/6b/0a/871277468.jpg,GM 160949,48,1,568000,flat,sale,134.0,True,2,2,barrio Sol,Madrid,Madrid,Centro,es,Sol,40.4165027,-3.7025164,False,https://www.idealista.com/inmueble/93759548/,2688,True,good,False,1.0,4239,"{'subtitle': 'Sol, Madrid', 'title': 'Piso'}",True,True,False,False,False,,,,,16.0,1.0,1-6,Sol,Centro
93591362,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6b/c3/f2/868146034.jpg,AS 159887,34,1,800000,flat,sale,139.0,True,3,2,barrio Malasaña-Universidad,Madrid,Madrid,Centro,es,Malasaña-Universidad,40.4223289,-3.7079328,False,https://www.idealista.com/inmueble/93591362/,1972,True,good,False,0.0,5755,"{'subtitle': 'Malasaña-Universidad, Madrid', 'title': 'Piso'}",True,True,False,True,False,,,,,15.0,1.0,1-5,Universidad,Centro
93415214,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e6/9f/1c/870655211.jpg,EV155891,41,1,820000,flat,sale,171.0,True,4,3,Carretera del Mediodía,Madrid,La Moraleja,Encinar de los Reyes,es,,40.510626,-3.6556524,False,https://www.idealista.com/inmueble/93415214/,9099,True,good,False,1.0,4795,"{'subtitle': 'Encinar de los Reyes, La Moraleja', 'title': 'Piso en Carretera del Mediodía'}",True,True,False,True,False,,,True,True,166.0,16.0,16-6,Valdefuentes,Hortaleza
93183727,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7a/c2/2e/869917370.jpg,MV159598,55,,1550000,chalet,sale,450.0,False,5,5,Camino de la Huerta,Madrid,La Moraleja,Encinar de los Reyes,es,,40.5060133,-3.6402651,False,https://www.idealista.com/inmueble/93183727/,9416,True,good,False,,3444,"{'subtitle': 'Encinar de los Reyes, La Moraleja', 'title': 'Chalet pareado en Camino de la Huerta'}",True,True,False,True,False,,semidetachedHouse,True,True,166.0,16.0,16-6,Valdefuentes,Hortaleza
92815301,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/58/59/d6/871779582.jpg,V6567I,60,2,1125000,penthouse,sale,312.0,True,5,6,Calle de Luis Martinez Feduchi,Madrid,La Moraleja,Encinar de los Reyes,es,,40.4993973,-3.6421561,False,https://www.idealista.com/inmueble/92815301/,8749,True,good,False,1.0,3606,"{'subtitle': 'Encinar de los Reyes, La Moraleja', 'title': 'Ático en Calle de Luis Martinez Feduchi'}",True,True,False,True,False,,penthouse,True,True,166.0,16.0,16-6,Valdefuentes,Hortaleza
93549441,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ab/5d/cb/868998134.jpg,VP13144,42,5.0,3500000,flat,sale,427.0,True,5,3,barrio Castellana,Madrid,Madrid,Barrio de Salamanca,es,Castellana,40.433651,-3.6846933,False,https://www.idealista.com/inmueble/93549441/,2255,True,good,False,1.0,8197,"{'subtitle': 'Castellana, Madrid', 'title': 'Piso'}",True,True,False,False,False,,,True,True,46.0,4.0,4-6,Castellana,Salamanca
92273816,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/71/a3/18/850416143.jpg,MV3840I,68,4.0,1195000,penthouse,sale,200.0,True,2,2,barrio Nueva España,Madrid,Madrid,Chamartín,es,Nueva España,40.4597724,-3.6814776,False,https://www.idealista.com/inmueble/92273816/,3264,True,renew,False,1.0,5975,"{'subtitle': 'Nueva España, Madrid', 'title': 'Ático'}",True,True,False,True,False,,penthouse,True,True,55.0,5.0,5-5,Nueva España,Chamartín
91834529,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/12/9f/b2/850964950.jpg,MV3819I,48,1.0,748000,flat,sale,174.0,True,4,2,barrio El Viso,Madrid,Madrid,Chamartín,es,El Viso,40.4411838,-3.6802568,False,https://www.idealista.com/inmueble/91834529/,2520,True,renew,False,1.0,4299,"{'subtitle': 'El Viso, Madrid', 'title': 'Piso'}",True,True,False,True,False,,,True,True,51.0,5.0,5-1,El Viso,Chamartín
