floor,price,propertyType,size,exterior,rooms,bathrooms,latitude,longitude,distance,status,newDevelopment,hasLift,priceByArea,topNewDevelopment,newDevelopmentFinished,hasParkingSpace,isParkingSpaceIncludedInPrice,codbar,coddistrit
5.0,690000,flat,130.0,False,3,2,40.4190461,-3.6719441,3975,good,False,1.0,5308,False,0.0,False,False,34.0,3.0
2.0,1220000,flat,190.0,True,4,3,40.4366359,-3.6930641,1481,renew,False,1.0,6421,False,0.0,True,True,74.0,7.0
1.0,610000,flat,100.0,True,2,2,40.5071821,-3.6425828,9397,good,False,1.0,6100,False,0.0,True,True,166.0,16.0
1.0,568000,flat,134.0,True,2,2,40.4165027,-3.7025164,2688,good,False,1.0,4239,False,0.0,False,False,16.0,1.0
1.0,800000,flat,139.0,True,3,2,40.4223289,-3.7079328,1972,good,False,0.0,5755,False,0.0,False,False,15.0,1.0
1.0,820000,flat,171.0,True,4,3,40.510626,-3.6556524,9099,good,False,1.0,4795,False,0.0,True,True,166.0,16.0
0.0,1550000,chalet,450.0,False,5,5,40.5060133,-3.6402651,9416,good,False,0.0,3444,False,0.0,True,True,166.0,16.0
2.0,1125000,penthouse,312.0,True,5,6,40.4993973,-3.6421561,8749,good,False,1.0,3606,False,0.0,True,True,166.0,16.0
5.0,3500000,flat,427.0,True,5,3,40.433651,-3.6846933,2255,good,False,1.0,8197,False,0.0,True,True,46.0,4.0
4.0,1195000,penthouse,200.0,True,2,2,40.4597724,-3.6814776,3264,renew,False,1.0,5975,False,0.0,True,True,55.0,5.0
1.0,748000,flat,174.0,True,4,2,40.4411838,-3.6802568,2520,renew,False,1.0,4299,False,0.0,True,True,51.0,5.0
0.0,930000,chalet,385.0,False,5,5,40.47387,-3.72979,4121,good,False,0.0,2416,False,0.0,True,True,83.0,8.0
4.0,1290000,flat,213.0,True,4,2,40.430661,-3.6981013,1446,good,False,1.0,6056,False,0.0,True,True,73.0,7.0
4.0,1030000,flat,234.0,True,4,3,40.4404997,-3.7145637,390,renew,False,1.0,4402,False,0.0,False,False,76.0,7.0
1.0,1250000,flat,147.0,True,3,2,40.4254052,-3.6870936,2528,good,False,1.0,8503,False,0.0,False,False,41.0,4.0
5.0,370000,flat,77.0,True,2,2,40.4440685,-3.6708511,3343,good,False,1.0,4805,False,0.0,False,False,52.0,5.0
3.0,225000,flat,45.0,False,1,1,40.4076436,-3.713593,3610,good,False,1.0,5000,False,0.0,False,False,11.0,1.0
4.0,225000,flat,88.0,True,2,2,40.3652821,-3.6939761,8417,good,False,1.0,2557,False,0.0,False,False,123.0,12.0
2.0,425000,flat,80.0,True,3,2,40.4760663,-3.6866933,4468,good,False,1.0,5313,False,0.0,False,False,85.0,8.0
6.0,1200000,flat,181.0,True,3,2,40.4370965,-3.6983981,1033,renew,False,1.0,6630,False,0.0,False,False,74.0,7.0
4.0,325000,flat,62.0,True,1,1,40.3998368,-3.6933925,4681,good,False,1.0,5242,False,0.0,False,False,25.0,2.0
6.0,890000,penthouse,94.0,True,2,2,40.4316741,-3.6731525,3252,good,False,1.0,9468,False,0.0,True,True,45.0,4.0
4.0,400000,flat,91.0,True,1,1,40.4259819,-3.6689497,3807,good,False,1.0,4396,False,0.0,True,True,42.0,4.0
3.0,455000,penthouse,130.0,False,3,2,40.4144788,-3.7028464,2901,good,False,0.0,3500,False,0.0,False,False,13.0,1.0
0.0,696000,duplex,126.0,True,3,3,40.4748576,-3.7235515,4041,newdevelopment,True,1.0,5524,False,0.0,True,True,83.0,8.0
1.0,460000,flat,65.0,True,1,1,40.4369112,-3.698832,1005,good,False,1.0,7077,False,0.0,False,False,74.0,7.0
2.0,750000,flat,107.0,True,2,2,40.4371112,-3.701032,824,good,False,1.0,7009,False,0.0,True,True,73.0,7.0
8.0,1650000,flat,308.0,True,5,4,40.4605057,-3.6868972,3003,renew,False,1.0,5357,False,0.0,True,True,55.0,5.0
4.0,1200000,duplex,290.0,True,6,4,40.4483725,-3.6533828,4880,good,False,1.0,4138,False,0.0,True,True,156.0,15.0
4.0,3150000,flat,705.0,True,6,5,40.436388,-3.6926342,1523,renew,False,1.0,4468,False,0.0,True,True,74.0,7.0
0.0,1650000,chalet,583.0,False,5,6,40.4578984,-3.7709045,5524,good,False,0.0,2830,False,0.0,True,True,97.0,9.0
5.0,239000,penthouse,80.0,True,2,1,40.3966085,-3.7348875,5264,good,False,1.0,2988,False,0.0,False,False,113.0,11.0
2.0,1150000,flat,205.0,True,3,3,40.4265831,-3.701109,1670,good,False,1.0,5610,False,0.0,False,False,14.0,1.0
0.0,2200000,chalet,656.0,False,4,4,40.4547233,-3.6435938,5852,renew,False,0.0,3354,False,0.0,True,True,162.0,16.0
