floor,price,size,exterior,rooms,bathrooms,latitude,longitude,distance,newDevelopment,hasLift,priceByArea,topNewDevelopment,newDevelopmentFinished,hasParkingSpace,isParkingSpaceIncludedInPrice,propertyType_chalet,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,status_good,status_newdevelopment,status_renew,codbar_1,codbar_2,codbar_3,codbar_4,codbar_5,coddistrit_1,coddistrit_2,coddistrit_3
5.0,690000,130.0,0,3,2,40.4190461,-3.6719441,3975,0,1,5308,0,0,0,0,0,0,1,0,0,1,0,0,1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
2.0,1220000,190.0,1,4,3,40.4366359,-3.6930641,1481,0,1,6421,0,0,1,1,0,0,1,0,0,0,0,1,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
1.0,610000,100.0,1,2,2,40.5071821,-3.6425828,9397,0,1,6100,0,0,1,1,0,0,1,0,0,1,0,0,2.0,0.0,-1.0,-1.0,-1.0,0.0,-2.0,0.0
1.0,568000,134.0,1,2,2,40.4165027,-3.7025164,2688,0,1,4239,0,0,0,0,0,0,1,0,0,1,0,0,1.0,0.0,-1.0,-1.0,-1.0,0.0,-2.0,-1.0
1.0,800000,139.0,1,3,2,40.4223289,-3.7079328,1972,0,0,5755,0,0,0,0,0,0,1,0,0,1,0,0,1.0,0.0,-1.0,-1.0,-1.0,0.0,-2.0,-1.0
1.0,820000,171.0,1,4,3,40.510626,-3.6556524,9099,0,1,4795,0,0,1,1,0,0,1,0,0,1,0,0,2.0,0.0,-1.0,-1.0,-1.0,0.0,-2.0,0.0
0.0,1550000,450.0,0,5,5,40.5060133,-3.6402651,9416,0,0,3444,0,0,1,1,1,0,0,0,0,1,0,0,2.0,0.0,-1.0,-1.0,-1.0,0.0,-2.0,0.0
2.0,1125000,312.0,1,5,6,40.4993973,-3.6421561,8749,0,1,3606,0,0,1,1,0,0,0,1,0,1,0,0,2.0,0.0,-1.0,-1.0,-1.0,0.0,-2.0,0.0
5.0,3500000,427.0,1,5,3,40.433651,-3.6846933,2255,0,1,8197,0,0,1,1,0,0,1,0,0,1,0,0,1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-2.0
4.0,1195000,200.0,1,2,2,40.4597724,-3.6814776,3264,0,1,5975,0,0,1,1,0,0,0,1,0,0,0,1,2.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0
1.0,748000,174.0,1,4,2,40.4411838,-3.6802568,2520,0,1,4299,0,0,1,1,0,0,1,0,0,0,0,1,1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
0.0,930000,385.0,0,5,5,40.47387,-3.72979,4121,0,0,2416,0,0,1,1,1,0,0,0,0,1,0,0,1.0,0.0,0.0,-2.0,-1.0,-1.0,-1.0,-1.0
4.0,1290000,213.0,1,4,2,40.430661,-3.6981013,1446,0,1,6056,0,0,1,1,0,0,1,0,0,1,0,0,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0
4.0,1030000,234.0,1,4,3,40.4404997,-3.7145637,390,0,1,4402,0,0,0,0,0,0,1,0,0,0,0,1,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0
1.0,1250000,147.0,1,3,2,40.4254052,-3.6870936,2528,0,1,8503,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,-2.0,-1.0,-1.0,0.0,-1.0,-2.0
5.0,370000,77.0,1,2,2,40.4440685,-3.6708511,3343,0,1,4805,0,0,0,0,0,0,1,0,0,1,0,0,1.0,1.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0
3.0,225000,45.0,0,1,1,40.4076436,-3.713593,3610,0,1,5000,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,-2.0,-1.0,-1.0,0.0,-2.0,-1.0
4.0,225000,88.0,1,2,2,40.3652821,-3.6939761,8417,0,1,2557,0,0,0,0,0,0,1,0,0,1,0,0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-2.0,-1.0
2.0,425000,80.0,1,3,2,40.4760663,-3.6866933,4468,0,1,5313,0,0,0,0,0,0,1,0,0,1,0,0,1.0,0.0,0.0,-2.0,-1.0,-1.0,-1.0,-1.0
6.0,1200000,181.0,1,3,2,40.4370965,-3.6983981,1033,0,1,6630,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
4.0,325000,62.0,1,1,1,40.3998368,-3.6933925,4681,0,1,5242,0,0,0,0,0,0,1,0,0,1,0,0,1.0,1.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0
6.0,890000,94.0,1,2,2,40.4316741,-3.6731525,3252,0,1,9468,0,0,1,1,0,0,0,1,0,1,0,0,1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-2.0
4.0,400000,91.0,1,1,1,40.4259819,-3.6689497,3807,0,1,4396,0,0,1,1,0,0,1,0,0,1,0,0,0.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,-2.0
3.0,455000,130.0,0,3,2,40.4144788,-3.7028464,2901,0,0,3500,0,0,0,0,0,0,0,1,0,1,0,0,1.0,0.0,-1.0,-1.0,-1.0,0.0,-2.0,-1.0
0.0,696000,126.0,1,3,3,40.4748576,-3.7235515,4041,1,1,5524,0,0,1,1,0,1,0,0,0,0,1,0,1.0,0.0,0.0,-2.0,-1.0,-1.0,-1.0,-1.0
1.0,460000,65.0,1,1,1,40.4369112,-3.698832,1005,0,1,7077,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
2.0,750000,107.0,1,2,2,40.4371112,-3.701032,824,0,1,7009,0,0,1,1,0,0,1,0,0,1,0,0,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0
8.0,1650000,308.0,1,5,4,40.4605057,-3.6868972,3003,0,1,5357,0,0,1,1,0,0,1,0,0,0,0,1,2.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0
4.0,1200000,290.0,1,6,4,40.4483725,-3.6533828,4880,0,1,4138,0,0,1,1,0,1,0,0,0,1,0,0,2.0,0.0,-1.0,-1.0,-1.0,1.0,-2.0,-1.0
4.0,3150000,705.0,1,6,5,40.436388,-3.6926342,1523,0,1,4468,0,0,1,1,0,0,1,0,0,0,0,1,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
0.0,1650000,583.0,0,5,6,40.4578984,-3.7709045,5524,0,0,2830,0,0,1,1,1,0,0,0,0,1,0,0,0.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0
